text,label
"The quick brown fox jumps over the lazy dog.",Human
"In this paper, we propose a novel approach to text classification.",AI
"I went to the store to buy some groceries.",Human
"The model achieved state-of-the-art results on several benchmarks.",AI
"Let's meet for coffee tomorrow at 10am.",Human
"Our experiments demonstrate significant improvements over baselines.",AI
"Can you help me with my homework?",Human
"The algorithm converges after 100 epochs.",AI
"It was a sunny day and the birds were singing.",Human
"We present a new dataset for natural language processing.",AI
